service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"GIRONDE:Timetable:29",1,1,1,1,1,0,0,20220707,20240705
"GIRONDE:Timetable:28",1,1,1,1,1,0,0,20210902,20240705
"GIRONDE:Timetable:27",1,1,1,1,1,0,0,20210901,20240705
"GIRONDE:Timetable:66",0,0,0,0,0,0,1,20230102,20240623
"GIRONDE:Timetable:22",1,1,0,1,1,0,0,20220919,20240705
"GIRONDE:Timetable:21",1,1,0,1,1,0,0,20220708,20240705
"GIRONDE:Timetable:65",0,0,0,0,0,0,1,20200901,20240623
"GIRONDE:Timetable:64",1,1,1,1,1,1,0,20230411,20230630
"GIRONDE:Timetable:20",1,1,0,1,1,0,0,20220707,20240705
"GIRONDE:Timetable:63",1,1,1,1,1,1,0,20200901,20230630
"GIRONDE:Timetable:26",1,1,1,1,1,0,0,20200901,20240705
"GIRONDE:Timetable:69",0,0,0,0,0,1,0,20200901,20230624
"GIRONDE:Timetable:25",1,1,1,1,1,0,0,20200525,20240705
"GIRONDE:Timetable:68",0,0,0,0,0,0,1,20230411,20240623
"GIRONDE:Timetable:24",1,1,1,1,1,0,0,20190829,20240705
"GIRONDE:Timetable:67",0,0,0,0,0,0,1,20230411,20240623
"GIRONDE:Timetable:23",1,1,0,1,1,0,0,20230307,20240705
"GIRONDE:Timetable:71",0,0,0,0,0,1,0,20230411,20230624
"GIRONDE:Timetable:70",0,0,0,0,0,1,0,20230102,20230624
"GIRONDE:Timetable:38",1,1,1,1,1,1,0,20230411,20240628
"GIRONDE:Timetable:33",1,1,1,1,1,1,0,20210104,20240628
"GIRONDE:Timetable:32",1,1,1,1,1,1,0,20200901,20240628
"GIRONDE:Timetable:76",0,0,0,0,0,0,1,20210703,20230827
"GIRONDE:Timetable:31",1,1,1,1,1,1,0,20200430,20240628
"GIRONDE:Timetable:30",1,1,1,1,1,0,0,20220919,20240705
"GIRONDE:Timetable:37",1,1,1,1,1,1,0,20230102,20240628
"GIRONDE:Timetable:36",1,1,1,1,1,1,0,20220829,20240628
"GIRONDE:Timetable:35",1,1,1,1,1,1,0,20220301,20240628
"GIRONDE:Timetable:34",1,1,1,1,1,1,0,20211201,20240628
"GIRONDE:Timetable:78",0,0,0,0,0,0,1,20220702,20230827
"GIRONDE:Timetable:80",0,0,0,0,0,0,1,20230701,20230827
"GIRONDE:Timetable:84",0,0,0,0,0,0,1,20200901,20240623
"GIRONDE:Timetable:40",1,1,1,1,1,1,0,20210703,20230831
"GIRONDE:Timetable:83",1,1,1,1,1,0,0,20220702,20230831
"GIRONDE:Timetable:82",1,1,1,1,1,0,0,20210703,20230831
"GIRONDE:Timetable:81",1,1,1,1,1,0,0,20210703,20230831
"GIRONDE:Timetable:49",0,0,1,0,0,0,0,20200901,20240703
"GIRONDE:Timetable:44",1,1,1,1,1,1,0,20230701,20230831
"GIRONDE:Timetable:88",0,0,0,0,0,0,1,20230102,20240623
"GIRONDE:Timetable:87",0,0,0,0,0,0,1,20211201,20240623
"GIRONDE:Timetable:42",1,1,1,1,1,1,0,20220702,20230831
