route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
"GIRONDE:Line:1000219","GIRONDE:Operator:3","201","BORDEAUX BUTTINIERE- BLAYE",,3,,ffffff,000000,"1"
"GIRONDE:Line:1000220","GIRONDE:Operator:3","202","BORDEAUX LES AUBIERS - BLAYE",,3,,ffffff,000000,"2"
"GIRONDE:Line:1000221","GIRONDE:Operator:3","210","ST ANDRE DE CUBZAC - LARUSCADE",,3,,ffffff,000000,"3"
"GIRONDE:Line:1000222","GIRONDE:Operator:3","211","BLAYE - ST CIERS SUR GIRONDE",,3,,ffffff,000000,"4"
"GIRONDE:Line:1000223","GIRONDE:Operator:3","212","BLAYE - JONZAC",,3,,ffffff,000000,"5"
"GIRONDE:Line:1000360","GIRONDE:Operator:3","213","ST ANDRE DE CUBZAC - ST CHRISTOLY DE BLAYE",,3,,ffffff,000000,"6"
"GIRONDE:Line:1000224","GIRONDE:Operator:3","214","ST ANDRE DE CUBZAC - PERISSAC",,3,,ffffff,000000,"7"
"GIRONDE:Line:1000089","GIRONDE:Operator:3","281","COLLEGE DE ST CIERS SUR GIRONDE",,3,,ffffff,000000,"8"
"GIRONDE:Line:1000090","GIRONDE:Operator:3","282","COLLEGE DE PEUJARD",,3,,ffffff,000000,"9"
"GIRONDE:Line:1000399","GIRONDE:Operator:3","283","COLLEGE DE MARSAS",,3,,ffffff,000000,"10"
"GIRONDE:Line:1000226","GIRONDE:Operator:3","301","BORDEAUX BUTTINIERE - LIBOURNE par ST LO",,3,,ffffff,000000,"11"
"GIRONDE:Line:1000227","GIRONDE:Operator:3","302","BORDEAUX Les Aubiers - LIBOURNE par RN89",,3,,ffffff,000000,"12"
"GIRONDE:Line:1000228","GIRONDE:Operator:3","303","BORDEAUX BUTTINIERE - BEYCHAC ET CAILLAU",,3,,ffffff,000000,"13"
"GIRONDE:Line:1000379","GIRONDE:Operator:3","304","BORDEAUX Quinconces - LIBOURNE - ST EMILION",,3,,ffffff,000000,"14"
"GIRONDE:Line:1000229","GIRONDE:Operator:3","310","LIBOURNE - ST ANDRE DE CUBZAC",,3,,ffffff,000000,"15"
"GIRONDE:Line:1000230","GIRONDE:Operator:3","313","LIBOURNE - VILLEFRANCHE DE LONCHAT",,3,,ffffff,000000,"16"
"GIRONDE:Line:1000231","GIRONDE:Operator:3","314","LIBOURNE - PUISSEGUIN",,3,,ffffff,000000,"17"
"GIRONDE:Line:1000232","GIRONDE:Operator:3","315","LIBOURNE - FRANCS",,3,,ffffff,000000,"18"
"GIRONDE:Line:1000233","GIRONDE:Operator:3","316","LIBOURNE - PELLEGRUE",,3,,ffffff,000000,"19"
"GIRONDE:Line:1000234","GIRONDE:Operator:3","317","LIBOURNE - SAUVETERRE",,3,,ffffff,000000,"20"
"GIRONDE:Line:1000364","GIRONDE:Operator:3","318","LIBOURNE - PERISSAC",,3,,ffffff,000000,"21"
"GIRONDE:Line:1000235","GIRONDE:Operator:3","320","LIBOURNE - ST GENES DE FRONSAC",,3,,ffffff,000000,"22"
"GIRONDE:Line:1000040","GIRONDE:Operator:3","383","COLLEGE DE VERAC",,3,,ffffff,000000,"23"
"GIRONDE:Line:1000236","GIRONDE:Operator:3","401","BORDEAUX STALINGRAD - BRANNE par SALLEBO",,3,,ffffff,000000,"24"
"GIRONDE:Line:1000237","GIRONDE:Operator:3","402","BORDEAUX STALINGRAD - BRANNE par CAMARSA",,3,,ffffff,000000,"25"
"GIRONDE:Line:1000238","GIRONDE:Operator:3","403","BORDEAUX STALINGRAD - SAUVETERRE par TAR",,3,,ffffff,000000,"26"
"GIRONDE:Line:1000239","GIRONDE:Operator:3","404","BORDEAUX STALINGRAD - CREON",,3,,ffffff,000000,"27"
"GIRONDE:Line:1000240","GIRONDE:Operator:3","405","BORDEAUX QUAI DESCHAMPS - TABANAC",,3,,ffffff,000000,"28"
"GIRONDE:Line:1000241","GIRONDE:Operator:3","406","BORDEAUX CAMPUS - CREON",,3,,ffffff,000000,"29"
"GIRONDE:Line:1000319","GIRONDE:Operator:3","407","EXPRESS CREON - BORDEAUX",,3,,ffffff,000000,"30"
"GIRONDE:Line:1000133","GIRONDE:Operator:3","481","COLLEGE DE CREON",,3,,ffffff,000000,"31"
"GIRONDE:Line:1000242","GIRONDE:Operator:3","501","BORDEAUX STALINGRAD - LANGON",,3,,ffffff,000000,"32"
"GIRONDE:Line:1000243","GIRONDE:Operator:3","502","BORDEAUX PEIXOTTO - LA BREDE",,3,,ffffff,000000,"33"
"GIRONDE:Line:1000244","GIRONDE:Operator:3","503","BORDEAUX PEIXOTTO - ST SYMPHORIEN",,3,,ffffff,000000,"34"
"GIRONDE:Line:1000245","GIRONDE:Operator:3","504","BORDEAUX CHU Pellegrin - HOSTENS - ST SYMPHORIEN",,3,,ffffff,000000,"35"
"GIRONDE:Line:1000246","GIRONDE:Operator:3","505","BORDEAUX PEIXOTTO - BELIN BELIET",,3,,ffffff,000000,"36"
"GIRONDE:Line:1000359","GIRONDE:Operator:3","506","BORDEAUX PEIXOTTO - CABANAC ET VILLAGRAINS",,3,,ffffff,000000,"37"
"GIRONDE:Line:1000247","GIRONDE:Operator:3","510","LA REOLE - SAUVETERRE par BAGAS",,3,,ffffff,000000,"38"
"GIRONDE:Line:1000248","GIRONDE:Operator:3","511","LANGON - GRIGNOLS",,3,,ffffff,000000,"39"
"GIRONDE:Line:1000249","GIRONDE:Operator:3","512","LANGON - CAPTIEUX",,3,,ffffff,000000,"40"
"GIRONDE:Line:1000250","GIRONDE:Operator:3","514","LA REOLE - SAUVETERRE par LANDERROUET",,3,,ffffff,000000,"41"
"GIRONDE:Line:1000150","GIRONDE:Operator:3","581","COLLEGE DE LATRESNE",,3,,ffffff,000000,"42"
"GIRONDE:Line:1000151","GIRONDE:Operator:3","582","COLLEGE DE CADILLAC",,3,,ffffff,000000,"43"
"GIRONDE:Line:1000253","GIRONDE:Operator:3","601","BORDEAUX - LEGE CAP FERRET",,3,,ffffff,000000,"44"
"GIRONDE:Line:1000254","GIRONDE:Operator:3","602","BORDEAUX UNITEC - CESTAS",,3,,ffffff,000000,"45"
"GIRONDE:Line:1000255","GIRONDE:Operator:3","610","BELIN BELIET - ANDERNOS LES BAINS",,3,,ffffff,000000,"46"
"GIRONDE:Line:1000302","GIRONDE:Operator:3","684","ETS COLLEGE DE LEGE",,3,,ffffff,000000,"48"
"GIRONDE:Line:1000303","GIRONDE:Operator:3","685","ETS LYCEE ANDERNOS",,3,,ffffff,000000,"49"
