stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"MOBIITI:StopPlace:44636",,"Les Eyres",,45.44248,-1.095777,,,1,,,2,,
"MOBIITI:StopPlace:45968",,"Pins Francs",,44.866707,-0.623598,,,1,,,0,,
"MOBIITI:StopPlace:44637",,"Gendarmerie",,45.079006,-1.046135,,,1,,,2,,
"MOBIITI:StopPlace:44634",,"Carr. de Daugagnan",,45.43997,-1.064116,,,1,,,2,,
"MOBIITI:StopPlace:44635",,"Garage Piot",,45.444885,-1.107622,,,1,,,2,,
"MOBIITI:StopPlace:43789",,"Lycees",,44.86927,-0.523403,,,1,,,2,,
"MOBIITI:StopPlace:44638",,"ROUTE DE L'HOPITAL",,45.294323,-0.879185,,,1,,,2,,
"MOBIITI:StopPlace:44639",,"Villeneuve",,45.39264,-0.887135,,,1,,,2,,
"MOBIITI:StopPlace:43780",,"Vivier",,44.896137,-0.481458,,,1,,,2,,
"MOBIITI:StopPlace:43782",,"Cardinal",,44.90026,-0.477769,,,1,,,2,,
"MOBIITI:StopPlace:43781",,"Lot. Jeanjean",,44.90332,-0.477054,,,1,,,2,,
"MOBIITI:StopPlace:44632",,"Chemin Sablé des Pins",,45.40299,-0.986978,,,1,,,2,,
"MOBIITI:StopPlace:43784",,"Lot. Les Places",,44.899006,-0.485472,,,1,,,2,,
"MOBIITI:StopPlace:44633",,"Bourg",,45.443645,-1.089214,,,1,,,2,,
"MOBIITI:StopPlace:43783",,"Baron",,44.897827,-0.477224,,,1,,,2,,
"MOBIITI:StopPlace:44630",,"St Gaux",,45.26629,-0.908282,,,1,,,2,,
"MOBIITI:StopPlace:44631",,"BLAIGNAN_stade",,45.321075,-0.880832,,,1,,,2,,
"MOBIITI:StopPlace:44647",,"Potensac",,45.306786,-0.858776,,,1,,,2,,
"MOBIITI:StopPlace:44648",,"Le Dez",,45.372578,-1.006529,,,1,,,2,,
"MOBIITI:StopPlace:45976","","Soubiras","",44.86333,-0.61859,,,1,,,0,,
"MOBIITI:StopPlace:44645",,"Peyressan",,45.316612,-0.839709,,,1,,,2,,
"MOBIITI:StopPlace:44646",,"Plautignan",,45.30548,-0.851659,,,1,,,2,,
"MOBIITI:StopPlace:44649",,"Larnac",,45.37542,-1.000045,,,1,,,2,,
"MOBIITI:StopPlace:44640",,"Lot. le Pointon",,45.39313,-0.915082,,,1,,,2,,
"MOBIITI:StopPlace:43795",,"Le Poteau",,44.91913,-0.480461,,,1,,,2,,
"MOBIITI:StopPlace:44643",,"Bourg",,45.307438,-0.835657,,,1,,,2,,
"MOBIITI:StopPlace:43794",,"Maison Neuve",,44.89472,-0.27408,,,1,,,2,,
"MOBIITI:StopPlace:44644",,"Lussan",,45.29925,-0.839194,,,1,,,2,,
"MOBIITI:StopPlace:43797",,"L'Intendant",,44.877605,-0.376341,,,1,,,2,,
"MOBIITI:StopPlace:44641",,"Bourg",,45.3957,-0.895383,,,1,,,2,,
"MOBIITI:StopPlace:43796",,"Mairie",,44.87054,-0.371596,,,1,,,2,,
"MOBIITI:StopPlace:44642",,"La Verdasse",,45.38758,-0.905535,,,1,,,2,,
"MOBIITI:StopPlace:45989",,"Trigan",,44.763046,-0.559739,,,1,,,0,,
"MOBIITI:StopPlace:44658",,"La Hontane 2",,45.373016,-0.987687,,,1,,,2,,
"MOBIITI:StopPlace:44659",,"Mairie",,45.286266,-0.789624,,,1,,,2,,
"MOBIITI:StopPlace:44656",,"Le Gadet",,45.367252,-1.012116,,,1,,,2,,
"MOBIITI:StopPlace:44657",,"Bourg",,45.362762,-0.977028,,,1,,,2,,
"MOBIITI:StopPlace:45509",,"Grand-Lebrun",,44.850792,-0.6065,,,1,,,0,,
"MOBIITI:StopPlace:45508","","Quinconces","",44.844902,-0.573309,,,1,,,0,,
"MOBIITI:StopPlace:44650",,"Gare",,45.36758,-1.001859,,,1,,,2,,
"MOBIITI:StopPlace:44651",,"Semian",,45.369675,-1.021376,,,1,,,2,,
"MOBIITI:StopPlace:44654",,"Queyzac",,45.347813,-0.998578,,,1,,,2,,
